date,aapl,ibm,goog,bp,xom,cost,gs
4/1/2016,26.34,135.95,741.84,31.06,77.46,159.54,177.14
5/1/2016,25.68,135.85,742.58,30.93,78.12,159.93,174.09
6/1/2016,25.18,135.17,743.62,30.30,77.47,158.45,169.84
7/1/2016,24.11,132.86,726.39,29.43,76.23,154.82,164.62
8/1/2016,24.24,131.63,714.47,28.91,74.69,152.11,163.94
11/1/2016,24.63,133.23,716.03,28.84,73.69,154.72,165.73
12/1/2016,24.99,132.90,726.07,28.65,75.20,156.06,165.71
13/1/2016,24.35,131.17,700.56,28.77,75.65,152.12,158.99
14/1/2016,24.88,132.91,714.72,30.83,79.12,153.18,161.39
15/1/2016,24.28,130.03,694.45,29.16,77.58,150.39,155.61
19/1/2016,24.17,128.11,701.79,28.92,76.40,150.47,156.82
20/1/2016,24.20,121.86,698.45,28.46,73.18,148.82,153.75
21/1/2016,24.08,122.91,706.59,29.46,74.10,150.38,151.65
22/1/2016,25.36,122.50,725.25,30.35,76.57,153.69,156.86
25/1/2016,24.86,122.08,711.67,29.47,73.98,150.78,151.12
26/1/2016,25.00,122.59,713.04,30.74,76.70,148.50,154.45
27/1/2016,23.36,120.96,699.99,30.68,75.29,147.73,153.72
28/1/2016,23.52,122.22,730.96,31.89,76.99,149.59,157.06
29/1/2016,24.34,124.79,742.95,32.37,77.85,151.12,161.56
1/2/2016,24.11,124.83,752.00,31.70,76.29,151.25,159.65
2/2/2016,23.62,122.94,764.65,29.02,74.59,148.50,151.70
3/2/2016,24.09,124.72,726.95,29.66,78.48,146.70,152.68
4/2/2016,24.15,127.65,708.01,30.61,79.83,143.28,156.49
5/2/2016,23.51,128.57,683.57,30.46,80.08,143.99,156.47
8/2/2016,23.75,126.98,682.74,29.92,81.16,147.02,149.25
9/2/2016,23.75,124.07,678.11,28.95,80.08,147.94,148.25
10/2/2016,23.57,120.19,684.12,28.04,79.35,148.05,147.23
11/2/2016,23.43,117.85,683.11,27.64,79.60,146.65,140.69
12/2/2016,23.50,121.04,682.40,29.02,81.03,148.65,146.13
16/2/2016,24.16,122.74,691.00,29.06,81.22,149.11,149.02
17/2/2016,24.53,126.10,708.40,29.95,82.00,150.91,150.94
